MISSING COMPONENT REFERENCES REPORT (BY SHEET)
Generated: 2025-12-17 09:54:24

WHAT TO FIX:
The following component names in your Excel sheets don't match any uploaded components.
Please check the spelling or make sure these components exist in the system.

====================================================================================================

SHEET: Excursions Package
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Row       | Row Name                                                    | Missing Component                                                            | Type            
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
5         | Hanging Glaciers Hike                                       | "Aguas Arriba Lodge to Activity Aguas Arriba Lodge"                          | transfer        
155       | Bahía Tranquila Hike                                        | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
158       | Cerro Torre Viewpoint half-day Hike                         | "Cerro Torre Viewpoint Hike"                                                 | activity        
159       | Cerro Torre Viewpoint half-day Hike                         | "Cerro Torre Viewpoint Hike"                                                 | activity        
160       | Cerro Torre Viewpoint half-day Hike                         | "Cerro Torre Viewpoint Hike"                                                 | activity        
170       | Estancia La Estela Horse Riding                             | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
173       | La Leona Petrified Forest Walk                              | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
176       | Lago del Desierto and Huemul Glacier Viewpoint Hik          | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
179       | Lago del Desierto Hike                                      | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
182       | Lago del Desierto Kayak and Hike                            | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
185       | Lago del Desierto Kayaking                                  | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
191       | Laguna del Diablo and Puesto Cagliero Hike                  | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
200       | Madsen House Tour - El Chaltén                              | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
203       | Laguna de Los Tres full-day Hike                            | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
207       | Paso del Cuadrado Hike                                      | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
210       | Piedra del Fraile Hike                                      | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
213       | Pollone Glacier Hike                                        | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
216       | Río de Las Vueltas Mountain Biking                          | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
219       | Río La Leona kayaking                                       | "El Chaltén Hotel to Activity H&T Driver Only"                               | transfer        
229       | Bahía Róbalo Hike                                           | "Errante Ecolodge to Beagle Channel Errante Ecolodge Driver Only"            | transfer        
230       | Bahía Virginia Hike                                         | "Errante Ecolodge to Beagle Channel Errante Ecolodge Driver Only"            | transfer        
